Library Scale Value,Scale Name,Response Description,Points,Response Type
1961,SL 12-point scale,100%,100.0%,
1962,SL 12-point scale,95%,90.9%,
1963,SL 12-point scale,90%,81.8%,
1964,SL 12-point scale,85%,72.7%,
1965,SL 12-point scale,80%,63.6%,
1966,SL 12-point scale,75%,54.5%,
1967,SL 12-point scale,70%,45.5%,
1968,SL 12-point scale,60%,36.4%,
1969,SL 12-point scale,50%,27.3%,
1970,SL 12-point scale,25%,18.2%,
1971,SL 12-point scale,<25%,9.1%,
1972,SL 12-point scale,0%,0.0%,
1973,SL 12-point scale,N/A,0.0%,N/A
4412,SL 28-point scale,N/T,0.0%,N/A
4411,SL 28-point scale,N/A,0.0%,N/A
4410,SL 28-point scale,> 8 hours,100.0%,
4409,SL 28-point scale,7.5 hours,96.3%,
4408,SL 28-point scale,7 hours,92.6%,
4407,SL 28-point scale,6.5 hours,88.9%,
4406,SL 28-point scale,6 hours,85.2%,
4405,SL 28-point scale,5.5 hours,81.5%,
4404,SL 28-point scale,5 hours,77.8%,
4403,SL 28-point scale,4.5 hours,74.1%,
4402,SL 28-point scale,4 hours,70.4%,
4401,SL 28-point scale,3.5 hours,66.7%,
4400,SL 28-point scale,3 hours,63.0%,
4399,SL 28-point scale,2.5 hours,59.3%,
4398,SL 28-point scale,2 hours,55.6%,
4397,SL 28-point scale,1.5 hours,51.9%,
4396,SL 28-point scale,1 hour,48.1%,
4395,SL 28-point scale,50 mins,44.4%,
4394,SL 28-point scale,40 mins,40.7%,
4393,SL 28-point scale,30 mins,37.0%,
4392,SL 28-point scale,25 mins,33.3%,
4391,SL 28-point scale,20 mins,29.6%,
4390,SL 28-point scale,15 mins,25.9%,
4389,SL 28-point scale,10 mins,22.2%,
4388,SL 28-point scale,5 mins,18.5%,
4387,SL 28-point scale,> 3 - 5 mins,14.8%,
4386,SL 28-point scale,1 - 3 mins,11.1%,
4385,SL 28-point scale,30 - 60 seconds,7.4%,
4384,SL 28-point scale,< 30 seconds,3.7%,
4383,SL 28-point scale,Unable,0.0%,
13419,SL 11-point scale,10,100.0%,
13418,SL 11-point scale,9,90.0%,
13417,SL 11-point scale,8,80.0%,
13416,SL 11-point scale,7,70.0%,
13415,SL 11-point scale,6,60.0%,
13414,SL 11-point scale,5,50.0%,
13413,SL 11-point scale,4,40.0%,
13412,SL 11-point scale,3,30.0%,
13411,SL 11-point scale,2,20.0%,
13410,SL 11-point scale,1,10.0%,
13409,SL 11-point scale,0,0.0%,
13420,SL 11-point scale,UTD,0.0%,N/A
23207,SL 9-point scale,I,100.0%,
23208,SL 9-point scale,MI,87.5%,
23209,SL 9-point scale,S/U,75.0%,
23210,SL 9-point scale,SUP,62.5%,
23211,SL 9-point scale,CGA,50.0%,
23212,SL 9-point scale,Min (A),37.5%,
23213,SL 9-point scale,Mod (A),25.0%,
23214,SL 9-point scale,Max (A),12.5%,
23215,SL 9-point scale,TD,0.0%,
26644,SL 241-point scale,> 240  min,100.0%,
26643,SL 241-point scale,240 min,99.6%,
26642,SL 241-point scale,239 min,99.2%,
26641,SL 241-point scale,238 min,98.8%,
26640,SL 241-point scale,237 min,98.3%,
26639,SL 241-point scale,236 min,97.9%,
26638,SL 241-point scale,235 min,97.5%,
26637,SL 241-point scale,234 min,97.1%,
26636,SL 241-point scale,233 min,96.7%,
26635,SL 241-point scale,232 min,96.3%,
26634,SL 241-point scale,231 min,95.8%,
26633,SL 241-point scale,230 min,95.4%,
26632,SL 241-point scale,229 min,95.0%,
26631,SL 241-point scale,228 min,94.6%,
26630,SL 241-point scale,227 min,94.2%,
26629,SL 241-point scale,226 min,93.8%,
26628,SL 241-point scale,225 min,93.3%,
26627,SL 241-point scale,224 min,92.9%,
26626,SL 241-point scale,223 min,92.5%,
26625,SL 241-point scale,222 min,92.1%,
26624,SL 241-point scale,221 min,91.7%,
26623,SL 241-point scale,220 min,91.3%,
26622,SL 241-point scale,219 min,90.8%,
26621,SL 241-point scale,218 min,90.4%,
26620,SL 241-point scale,217 min,90.0%,
26619,SL 241-point scale,216 min,89.6%,
26618,SL 241-point scale,215 min,89.2%,
26617,SL 241-point scale,214 min,88.8%,
26616,SL 241-point scale,213 min,88.3%,
26615,SL 241-point scale,212 min,87.9%,
26614,SL 241-point scale,211 min,87.5%,
26613,SL 241-point scale,210 min,87.1%,
26612,SL 241-point scale,209 min,86.7%,
26611,SL 241-point scale,208 min,86.3%,
26610,SL 241-point scale,207 min,85.8%,
26609,SL 241-point scale,206 min,85.4%,
26608,SL 241-point scale,205 min,85.0%,
26607,SL 241-point scale,204 min,84.6%,
26606,SL 241-point scale,203 min,84.2%,
26605,SL 241-point scale,202 min,83.8%,
26604,SL 241-point scale,201 min,83.3%,
26603,SL 241-point scale,200 min,82.9%,
26602,SL 241-point scale,199 min,82.5%,
26601,SL 241-point scale,198 min,82.1%,
26600,SL 241-point scale,197 min,81.7%,
26599,SL 241-point scale,196 min,81.3%,
26598,SL 241-point scale,195 min,80.8%,
26597,SL 241-point scale,194 min,80.4%,
26596,SL 241-point scale,193 min,80.0%,
26595,SL 241-point scale,192 min,79.6%,
26594,SL 241-point scale,191 min,79.2%,
26593,SL 241-point scale,190 min,78.8%,
26592,SL 241-point scale,189 min,78.3%,
26591,SL 241-point scale,188 min,77.9%,
26590,SL 241-point scale,187 min,77.5%,
26589,SL 241-point scale,186 min,77.1%,
26588,SL 241-point scale,185 min,76.7%,
26587,SL 241-point scale,184 min,76.3%,
26586,SL 241-point scale,183 min,75.8%,
26585,SL 241-point scale,182 min,75.4%,
26584,SL 241-point scale,181 min,75.0%,
26583,SL 241-point scale,180 min,74.6%,
26582,SL 241-point scale,179 min,74.2%,
26581,SL 241-point scale,178 min,73.8%,
26580,SL 241-point scale,177 min,73.3%,
26579,SL 241-point scale,176 min,72.9%,
26578,SL 241-point scale,175 min,72.5%,
26577,SL 241-point scale,174 min,72.1%,
26576,SL 241-point scale,173 min,71.7%,
26575,SL 241-point scale,172 min,71.3%,
26574,SL 241-point scale,171 min,70.8%,
26573,SL 241-point scale,170 min,70.4%,
26572,SL 241-point scale,169 min,70.0%,
26571,SL 241-point scale,168 min,69.6%,
26570,SL 241-point scale,167 min,69.2%,
26569,SL 241-point scale,166 min,68.8%,
26568,SL 241-point scale,165 min,68.3%,
26567,SL 241-point scale,164 min,67.9%,
26566,SL 241-point scale,163 min,67.5%,
26565,SL 241-point scale,162 min,67.1%,
26564,SL 241-point scale,161 min,66.7%,
26563,SL 241-point scale,160 min,66.3%,
26562,SL 241-point scale,159 min,65.8%,
26561,SL 241-point scale,158 min,65.4%,
26560,SL 241-point scale,157 min,65.0%,
26559,SL 241-point scale,156 min,64.6%,
26558,SL 241-point scale,155 min,64.2%,
26557,SL 241-point scale,154 min,63.8%,
26556,SL 241-point scale,153 min,63.3%,
26555,SL 241-point scale,152 min,62.9%,
26554,SL 241-point scale,151 min,62.5%,
26553,SL 241-point scale,150 min,62.1%,
26552,SL 241-point scale,149 min,61.7%,
26551,SL 241-point scale,148 min,61.3%,
26550,SL 241-point scale,147 min,60.8%,
26549,SL 241-point scale,146 min,60.4%,
26548,SL 241-point scale,145 min,60.0%,
26547,SL 241-point scale,144 min,59.6%,
26546,SL 241-point scale,143 min,59.2%,
26545,SL 241-point scale,142 min,58.8%,
26544,SL 241-point scale,141 min,58.3%,
26543,SL 241-point scale,140 min,57.9%,
26542,SL 241-point scale,139 min,57.5%,
26541,SL 241-point scale,138 min,57.1%,
26540,SL 241-point scale,137 min,56.7%,
26539,SL 241-point scale,136 min,56.3%,
26538,SL 241-point scale,135 min,55.8%,
26537,SL 241-point scale,134 min,55.4%,
26536,SL 241-point scale,133 min,55.0%,
26535,SL 241-point scale,132 min,54.6%,
26534,SL 241-point scale,131 min,54.2%,
26533,SL 241-point scale,130 min,53.8%,
26532,SL 241-point scale,129 min,53.3%,
26531,SL 241-point scale,128 min,52.9%,
26530,SL 241-point scale,127 min,52.5%,
26529,SL 241-point scale,126 min,52.1%,
26528,SL 241-point scale,125 min,51.7%,
26527,SL 241-point scale,124 min,51.3%,
26526,SL 241-point scale,123 min,50.8%,
26525,SL 241-point scale,122 min,50.4%,
26524,SL 241-point scale,121 min,50.0%,
26523,SL 241-point scale,120 min,49.6%,
26522,SL 241-point scale,119 min,49.2%,
26521,SL 241-point scale,118 min,48.8%,
26520,SL 241-point scale,117 min,48.3%,
26519,SL 241-point scale,116 min,47.9%,
26518,SL 241-point scale,115 min,47.5%,
26517,SL 241-point scale,114 min,47.1%,
26516,SL 241-point scale,113 min,46.7%,
26515,SL 241-point scale,112 min,46.3%,
26514,SL 241-point scale,111 min,45.8%,
26513,SL 241-point scale,110 min,45.4%,
26512,SL 241-point scale,109 min,45.0%,
26511,SL 241-point scale,108 min,44.6%,
26510,SL 241-point scale,107 min,44.2%,
26509,SL 241-point scale,106 min,43.8%,
26508,SL 241-point scale,105 min,43.3%,
26507,SL 241-point scale,104 min,42.9%,
26506,SL 241-point scale,103 min,42.5%,
26505,SL 241-point scale,102 min,42.1%,
26504,SL 241-point scale,101 min,41.7%,
26503,SL 241-point scale,100 min,41.3%,
26502,SL 241-point scale,99 min,40.8%,
26501,SL 241-point scale,98 min,40.4%,
26500,SL 241-point scale,97 min,40.0%,
26499,SL 241-point scale,96 min,39.6%,
26498,SL 241-point scale,95 min,39.2%,
26497,SL 241-point scale,94 min,38.8%,
26496,SL 241-point scale,93 min,38.3%,
26495,SL 241-point scale,92 min,37.9%,
26494,SL 241-point scale,91 min,37.5%,
26493,SL 241-point scale,90 min,37.1%,
26492,SL 241-point scale,89 min,36.7%,
26491,SL 241-point scale,88 min,36.3%,
26490,SL 241-point scale,87 min,35.8%,
26489,SL 241-point scale,86 min,35.4%,
26488,SL 241-point scale,85 min,35.0%,
26487,SL 241-point scale,84 min,34.6%,
26486,SL 241-point scale,83 min,34.2%,
26485,SL 241-point scale,82 min,33.8%,
26484,SL 241-point scale,81 min,33.3%,
26483,SL 241-point scale,80 min,32.9%,
26482,SL 241-point scale,79 min,32.5%,
26481,SL 241-point scale,78 min,32.1%,
26480,SL 241-point scale,77 min,31.7%,
26479,SL 241-point scale,76 min,31.3%,
26478,SL 241-point scale,75 min,30.8%,
26477,SL 241-point scale,74 min,30.4%,
26476,SL 241-point scale,73 min,30.0%,
26475,SL 241-point scale,72 min,29.6%,
26474,SL 241-point scale,71 min,29.2%,
26473,SL 241-point scale,70 min,28.8%,
26472,SL 241-point scale,69 min,28.3%,
26471,SL 241-point scale,68 min,27.9%,
26470,SL 241-point scale,67 min,27.5%,
26469,SL 241-point scale,66 min,27.1%,
26468,SL 241-point scale,65 min,26.7%,
26467,SL 241-point scale,64 min,26.3%,
26466,SL 241-point scale,63 min,25.8%,
26465,SL 241-point scale,62 min,25.4%,
26464,SL 241-point scale,61 min,25.0%,
26463,SL 241-point scale,60 min,24.6%,
26462,SL 241-point scale,59 min,24.2%,
26461,SL 241-point scale,58 min,23.8%,
26460,SL 241-point scale,57 min,23.3%,
26459,SL 241-point scale,56 min,22.9%,
26458,SL 241-point scale,55 min,22.5%,
26457,SL 241-point scale,54 min,22.1%,
26456,SL 241-point scale,53 min,21.7%,
26455,SL 241-point scale,52 min,21.3%,
26454,SL 241-point scale,51 min,20.8%,
26453,SL 241-point scale,50 min,20.4%,
26452,SL 241-point scale,49 min,20.0%,
26451,SL 241-point scale,48 min,19.6%,
26450,SL 241-point scale,47 min,19.2%,
26449,SL 241-point scale,46 min,18.8%,
26448,SL 241-point scale,45 min,18.3%,
26447,SL 241-point scale,44 min,17.9%,
26446,SL 241-point scale,43 min,17.5%,
26445,SL 241-point scale,42 min,17.1%,
26444,SL 241-point scale,41 min,16.7%,
26443,SL 241-point scale,40 min,16.3%,
26442,SL 241-point scale,39 min,15.8%,
26441,SL 241-point scale,38 min,15.4%,
26440,SL 241-point scale,37 min,15.0%,
26439,SL 241-point scale,36 min,14.6%,
26438,SL 241-point scale,35 min,14.2%,
26437,SL 241-point scale,34 min,13.8%,
26436,SL 241-point scale,33 min,13.3%,
26435,SL 241-point scale,32 min,12.9%,
26434,SL 241-point scale,31 min,12.5%,
26433,SL 241-point scale,30 min,12.1%,
26432,SL 241-point scale,29 min,11.7%,
26431,SL 241-point scale,28 min,11.3%,
26430,SL 241-point scale,27 min,10.8%,
26429,SL 241-point scale,26 min,10.4%,
26428,SL 241-point scale,25 min,10.0%,
26427,SL 241-point scale,24 min,9.6%,
26426,SL 241-point scale,23 min,9.2%,
26425,SL 241-point scale,22 min,8.8%,
26424,SL 241-point scale,21 min,8.3%,
26423,SL 241-point scale,20 min,7.9%,
26422,SL 241-point scale,19 min,7.5%,
26421,SL 241-point scale,18 min,7.1%,
26420,SL 241-point scale,17 min,6.7%,
26419,SL 241-point scale,16 min,6.3%,
26418,SL 241-point scale,15 min,5.8%,
26417,SL 241-point scale,14 min,5.4%,
26416,SL 241-point scale,13 min,5.0%,
26415,SL 241-point scale,12 min,4.6%,
26414,SL 241-point scale,11 min,4.2%,
26413,SL 241-point scale,10 min,3.8%,
26412,SL 241-point scale,9 min,3.3%,
26411,SL 241-point scale,8 min,2.9%,
26410,SL 241-point scale,7 min,2.5%,
26409,SL 241-point scale,6 min,2.1%,
26408,SL 241-point scale,5 min,1.7%,
26407,SL 241-point scale,4 min,1.3%,
26406,SL 241-point scale,3 min,0.8%,
26405,SL 241-point scale,2 min,0.4%,
26404,SL 241-point scale,1 min,0.0%,
26645,SL 241-point scale,Not Assessed,0.0%,N/A
26646,SL 241-point scale,Not tested d/t unexpected d/c,0.0%,N/A
